concept_id,activation_rate,mean_abs,energy_share
3707,0.5670671,0.061653286,0.002325849
650,0.5547214,0.06134123,0.0023140768
275,0.18418418,0.059428614,0.002241924
1705,0.11094428,0.05807156,0.0021907296
1541,0.25558892,0.057279415,0.002160846
877,0.46229562,0.052072473,0.0019644161
4004,0.15515515,0.04923867,0.0018575118
3458,0.29112446,0.04854371,0.0018312947
2001,0.71938604,0.0481294,0.0018156649
2670,0.483984,0.0437218,0.0016493897
1116,0.66099435,0.043409344,0.0016376025
3806,0.14664665,0.03998554,0.0015084407
59,0.28611946,0.033540968,0.0012653214
1177,0.40256923,0.03232746,0.0012195422
2813,0.13079746,0.031329907,0.0011819099
2577,0.5418752,0.03067847,0.0011573347
3564,0.24190858,0.03024692,0.0011410547
1598,0.08591925,0.030020202,0.0011325018
2277,0.07223891,0.028914683,0.0010907964
3513,0.5488822,0.028879134,0.0010894553
3851,0.43960628,0.02871879,0.0010834064
3778,0.3173173,0.02646112,0.0009982366
963,0.055055056,0.026075995,0.0009837078
2457,0.12579246,0.02570304,0.00096963835
71,0.24974975,0.025613125,0.0009662463
1426,0.07891224,0.025297634,0.0009543445
2128,0.43093094,0.024531802,0.0009254537
848,0.2822823,0.024046915,0.00090716156
2945,0.11945279,0.022608696,0.0008529052
609,0.09576243,0.022484178,0.00084820786
3734,0.08925592,0.021731362,0.0008198081
3062,0.048715383,0.021700233,0.00081863377
1132,0.26209542,0.021071764,0.00079492497
3951,0.29145813,0.020104695,0.0007584427
281,0.26509842,0.019572075,0.0007383498
4002,0.069235906,0.0188436,0.00071086833
307,0.0985986,0.01882606,0.00071020663
3270,0.028695362,0.018146409,0.00068456697
3108,0.094928265,0.017399343,0.00065638416
1254,0.028194861,0.017201882,0.00064893503
456,0.08675342,0.01714946,0.00064695743
2854,0.07090424,0.017053552,0.00064333936
205,0.048882216,0.016359111,0.00061714184
634,0.19686353,0.015792165,0.00059575395
1160,0.057057057,0.015475533,0.0005838091
1044,0.0667334,0.014936487,0.0005634738
1804,0.06089423,0.014628868,0.000551869
2853,0.07374041,0.0142593905,0.0005379306
4008,0.059392728,0.013891264,0.0005240431
3404,0.07190524,0.013837777,0.00052202534
1104,0.17650984,0.013500348,0.00050929596
1502,0.037037037,0.013188661,0.00049753767
2179,0.03720387,0.013135935,0.0004955486
3403,0.045045044,0.013031889,0.0004916235
2588,0.06239573,0.013026882,0.0004914346
